card_id,plant_id,months,task_type,section,title,short_reason,details,time_needed,priority,confidence,weather_rule_ids,garden_types,source_ids
paradiznik_setev_1,paradiznik,marec;april,setev,this_week,Preveri setev za paradižnik,"Toploljubne plodovke se običajno začnejo v zaščitenem prostoru, ne neposredno na mrzlo gredo.",Uporabi mesečni koledar in sortna navodila; sadike naj imajo dovolj svetlobe.,15–25 min,6,medium,cold_night;frost_risk,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_paradiznikova_plesen;kgzs_dobri_sosedje
paradiznik_sajenje_2,paradiznik,maj,sajenje,today,Paradižnik: presajaj šele po varnem toplem obdobju,Plodovke so občutljive na nizke temperature in mrzla tla.,"Če so noči hladne, počakaj ali uporabi zaščito. Na balkonih sadike čez noč po potrebi umakni v zavetje.",20–40 min,8,medium,cold_night;frost_risk;windy_day,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_paradiznikova_plesen;kgzs_dobri_sosedje
paradiznik_zalivanje_3,paradiznik,junij;julij;avgust,zalivanje,today,Zalij paradižnik ob korenini,Plodovke v vročini hitro trpijo zaradi neenakomerne vlage.,"Zalivaj zjutraj ali zvečer. Izogibaj se močenju listov, posebej pri paradižniku in papriki.",10–20 min,8,medium_high,dry_three_days;hot_day;very_hot_day,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_paradiznikova_plesen;kgzs_dobri_sosedje
paradiznik_pregled_4,paradiznik,junij;julij;avgust,pregled,watch,Preglej liste in zračnost pri paradižnik,"Toplo, vlažno ali mokro vreme poveča tveganje za bolezni pri občutljivih rastlinah.","Odstrani poškodovane liste, izboljšaj zračnost in ne delaj po mokrih rastlinah.",5–10 min,7,medium_high,humid_warm_day;rain_today,vrt;visoka_greda;rastlinjak,kgzs_plodovke_lonce;ivr_paradiznikova_plesen;kgzs_dobri_sosedje
paradiznik_obiranje_5,paradiznik,julij;avgust;september,obiranje,today,Obiraj zrele plodove: paradižnik,Redno obiranje spodbuja nadaljnjo rast in zmanjšuje preobremenitev rastline.,Obiraj nežno; prezrele ali poškodovane plodove odstrani.,5–15 min,6,medium,,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_paradiznikova_plesen;kgzs_dobri_sosedje
paprika_setev_6,paprika,marec;april,setev,this_week,Preveri setev za paprika,"Toploljubne plodovke se običajno začnejo v zaščitenem prostoru, ne neposredno na mrzlo gredo.",Uporabi mesečni koledar in sortna navodila; sadike naj imajo dovolj svetlobe.,15–25 min,6,medium,cold_night;frost_risk,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_portal
paprika_sajenje_7,paprika,maj,sajenje,today,Paprika: presajaj šele po varnem toplem obdobju,Plodovke so občutljive na nizke temperature in mrzla tla.,"Če so noči hladne, počakaj ali uporabi zaščito. Na balkonih sadike čez noč po potrebi umakni v zavetje.",20–40 min,8,medium,cold_night;frost_risk;windy_day,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_portal
paprika_zalivanje_8,paprika,junij;julij;avgust,zalivanje,today,Zalij paprika ob korenini,Plodovke v vročini hitro trpijo zaradi neenakomerne vlage.,"Zalivaj zjutraj ali zvečer. Izogibaj se močenju listov, posebej pri paradižniku in papriki.",10–20 min,8,medium_high,dry_three_days;hot_day;very_hot_day,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_portal
paprika_pregled_9,paprika,junij;julij;avgust,pregled,watch,Preglej liste in zračnost pri paprika,"Toplo, vlažno ali mokro vreme poveča tveganje za bolezni pri občutljivih rastlinah.","Odstrani poškodovane liste, izboljšaj zračnost in ne delaj po mokrih rastlinah.",5–10 min,7,medium_high,humid_warm_day;rain_today,vrt;visoka_greda;rastlinjak,kgzs_plodovke_lonce;ivr_portal
paprika_obiranje_10,paprika,julij;avgust;september,obiranje,today,Obiraj zrele plodove: paprika,Redno obiranje spodbuja nadaljnjo rast in zmanjšuje preobremenitev rastline.,Obiraj nežno; prezrele ali poškodovane plodove odstrani.,5–15 min,6,medium,,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_portal
kumare_setev_11,kumare,marec;april,setev,this_week,Preveri setev za kumare,"Toploljubne plodovke se običajno začnejo v zaščitenem prostoru, ne neposredno na mrzlo gredo.",Uporabi mesečni koledar in sortna navodila; sadike naj imajo dovolj svetlobe.,15–25 min,6,medium,cold_night;frost_risk,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_pepelovke_bucevk
kumare_sajenje_12,kumare,maj,sajenje,today,Kumare: presajaj šele po varnem toplem obdobju,Plodovke so občutljive na nizke temperature in mrzla tla.,"Če so noči hladne, počakaj ali uporabi zaščito. Na balkonih sadike čez noč po potrebi umakni v zavetje.",20–40 min,8,medium,cold_night;frost_risk;windy_day,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_pepelovke_bucevk
