id,name,latin,group,diff,beginner,balcony,raised,sun,soil,water,spacing,months,harvest,source,desc
paradiznik,Paradižnik,Solanum lycopersicum,plodovke,3,da,da,da,polno sonce,"rodovitna, odcedna tla; ne prenese zastajanja vode","redno, ob korenini; ne po listih",50–70 cm,februar;marec;april;maj;junij;julij;avgust;september,julij–september,kgzs_plodovke_lonce;ivr_paradiznikova_plesen;kgzs_dobri_sosedje,"Najbolj priljubljena plodovka za slovenski vrt; potrebuje toploto, oporo in redno oskrbo."
paprika,Paprika,Capsicum annuum,plodovke,3,srednje,da,da,polno sonce,"topla, rodovitna, odcedna tla",redno in enakomerno,40–50 cm,februar;marec;april;maj;junij;julij;avgust;september,julij–september,kgzs_plodovke_lonce;ivr_portal,"Toploljubna plodovka; dobro uspeva v zaščiteni legi, loncu ali visoki gredi."
kumare,Kumare,Cucumis sativus,plodovke,2,da,da,da,sonce do rahla polsenca,"humozna, topla, vlažna, a odcedna tla",zelo redno; pomanjkanje vode poslabša kakovost plodov,40–60 cm,april;maj;junij;julij;avgust;september,junij–september,kgzs_plodovke_lonce;ivr_pepelovke_bucevk,Hitro rastoča bučevka za oporo ali tla; občutljiva na mraz in sušo.
bucke,Bučke,Cucurbita pepo,plodovke,1,da,ne,da,polno sonce,"bogata, kompostirana, vlažna tla",redno in obilno ob korenini,80–100 cm,april;maj;junij;julij;avgust;september,junij–september,ivr_pepelovke_bucevk;kgzs_plodovke_lonce,"Ena najlažjih vrtnin za začetnike; potrebuje veliko prostora, hranil in vode."
solata,Solata,Lactuca sativa,listnata zelenjava,1,da,da,da,"sonce spomladi/jeseni, poleti polsenca","rahla, zmerno hranljiva tla",stalna zmerna vlaga; ne presušiti,20–30 cm,februar;marec;april;maj;junij;avgust;september;oktober,april–junij; september–november,ivr_listne_usi_solatnice;kgzs_eknjiznica,Osnovna vrtnina za začetnike; najbolje uspeva v hladnejšem delu sezone.
spinaca,Špinača,Spinacia oleracea,listnata zelenjava,1,da,da,da,sonce do polsenca,"rahla, vlažna tla",redno; hitro gre v cvet ob suši in vročini,10–20 cm,marec;april;maj;avgust;september;oktober,april–junij; september–november,kgzs_eknjiznica;arso_agromet,Hitra listnata vrtnina za pomlad in jesen; poleti jo pogosto zamenjajo druge listnate vrste.
korenje,Korenje,Daucus carota subsp. sativus,korenovke,2,da,delno,da,sonce,"globoka, rahla tla brez svežega gnoja",enakomerna vlaga med kalitvijo,3–5 cm po redčenju,marec;april;maj;junij;julij;avgust;september;oktober,junij–november,kgzs_temp_tal;ivr_portal,"Zanesljiva korenovka, če so tla rahla in setev dovolj vlažna za kalitev."
redkvica,Redkvica,Raphanus sativus var. sativus,korenovke,1,da,da,da,sonce do polsenca,"rahla, enakomerno vlažna tla",redno; suša povzroči olesenelost in pekoč okus,3–5 cm,marec;april;maj;september;oktober,april–junij; september–november,kgzs_temp_tal;ivr_kapusnice,Zelo hitra vrtnina za začetnike; dobra za prazne prostore med počasnejšimi rastlinami.
fizol_nizek,Nizek fižol,Phaseolus vulgaris,stročnice,2,da,delno,da,sonce,"topla, odcedna tla; ne preveč svežega gnojenja",zmerno; posebej ob cvetenju in nastavljanju strokov,8–10 cm v vrsti,maj;junij;julij;avgust;september,julij–september,ivr_fizolova_muha;kgzs_eknjiznica,Toploljubna stročnica; ne hiti s setvijo v hladno in mokro zemljo.
grah,Grah,Pisum sativum,stročnice,2,da,delno,da,sonce do polsenca,"odcedna, zmerno hranljiva tla",zmerno; ne mara suše med cvetenjem,5–8 cm,februar;marec;april;maj;junij,maj–julij,ivr_fizolova_muha;kgzs_eknjiznica,Zgodnja stročnica za pomlad; potrebuje oporo pri višjih sortah.
