id,active,section,condition_logic,metric_1,operator_1,value_1,metric_2,operator_2,value_2,unit,forecast_day_offset,lookback_days,severity,title,short_message,detail,recommended_action,avoid_action,applies_months,applies_garden_types,applies_task_types,plant_group_tags,confidence,source_ids,ui_badge,sort_weight
rain_today_skip_watering,yes,wait,all,precipitation_sum,>=,3,,,,mm,0,0,medium,Zalivanje danes verjetno ni potrebno,"Napovedan je dež, zato najprej preveri vlažnost tal.","Pri dežju ne zalivaj avtomatično. Lonci pod streho so izjema, ker jih dež pogosto ne doseže.",Preveri zemljo s prstom; zalij samo suhe lonce ali pokrite dele.,"Ne zalivaj celotnega vrta po urniku, če je zemlja že mokra.","3,4,5,6,7,8,9,10","vrt,visoka_greda,balkon,rastlinjak",watering,all,high,open_meteo_docs,dež,95
heavy_rain_avoid_soil_work,yes,wait,all,precipitation_sum,>=,15,,,,mm,0,0,high,Ne delaj po mokri zemlji,Močnejši dež lahko zbije tla in oteži delo na gredah.,"Po močnem dežju je bolje počakati, da se tla odcedijo. Delo v premokri zemlji lahko pokvari strukturo tal.","Preveri odvodnjavanje, lonce in mlade sadike.","Ne rahljaj, ne prekopavaj in ne hodi po mokri gredi.","1,2,3,4,5,6,7,8,9,10,11,12","vrt,visoka_greda","soil_prep,sowing_outdoor,transplanting",all,medium,open_meteo_docs,mokra tla,98
heavy_rain_protect_containers,yes,watch,all,precipitation_sum,>=,15,,,,mm,0,0,medium,Preveri lonce in korita,Ob močnem dežju se lahko lonci preveč namočijo.,"Balkonske posode morajo imeti odtočne luknje. Če voda stoji, korenine trpijo.",Premakni občutljive lonce pod streho ali preveri odtekanje vode.,"Ne pusti loncev stati v podstavkih, polnih vode.","3,4,5,6,7,8,9,10",balkon,"protection,watering","herbs,leafy,fruiting",high,open_meteo_docs,lonci,85
rain_tomorrow_harvest_before,yes,today,all,precipitation_sum,>=,8,,,,mm,1,0,low,Obiraj zrele pridelke pred dežjem,"Če je jutri dež, se danes splača pobrati zrele plodove in zelišča.",Zreli plodovi lahko po dežju pokajo ali hitreje propadajo. Pri zeliščih je za sušenje boljše suho vreme.,"Poberi zrele paradižnike, jagode, bučke, solato ali zelišča, če so pripravljeni.",Ne pobiraj nezrelih pridelkov samo zaradi napovedi.,"5,6,7,8,9,10","vrt,visoka_greda,balkon",harvesting,"fruiting,leafy,herbs,berries",medium,open_meteo_docs,pred dežjem,70
dry_3d_water_priority,yes,today,all,precipitation_3d,<,2,temperature_max,>=,24,mm/°C,0,3,medium,Preveri zalivanje,"Več dni je suho in toplo, zato preveri vlažnost tal.",Visoke grede in lonci se izsušijo hitreje kot klasične grede. Zalivanje prilagodi dejanski vlažnosti zemlje.,"Zalivaj zjutraj ali zvečer, predvsem lonce, visoke grede in plodovke.",Ne zalivaj po listih sredi dneva.,"4,5,6,7,8,9","vrt,visoka_greda,balkon",watering,"fruiting,leafy,herbs,berries",high,open_meteo_docs,suho,100
dry_7d_mulch_recommended,yes,this_week,all,precipitation_7d,<,5,temperature_max,>=,25,mm/°C,0,7,medium,Dodaj zastirko,Ob suhem tednu zastirka pomaga zadržati vlago.,"Zastirka zmanjša izhlapevanje, blaži nihanja temperature tal in zavira plevel.","Okoli paradižnika, bučk, jagod in visokih gred dodaj tanko plast primerne zastirke.",Ne nalagaj debele mokre zastirke neposredno ob steblo.,"5,6,7,8,9","vrt,visoka_greda","mulching,watering","fruiting,berries",medium,"open_meteo_docs,arso_agromet_drought",zastirka,65
hot_day_watering_timing,yes,today,all,temperature_max,>=,28,,,,°C,0,0,medium,Zalivaj zgodaj ali zvečer,Vroč dan ni primeren za zalivanje po listih sredi dneva.,"Pri visokih temperaturah je bolje zalivati zjutraj ali zvečer, ob korenini.",Zalij občutljive rastline pred vročino ali po sončnem zahodu.,"Ne moči listov sredi dneva, če ni nujno.","5,6,7,8,9","vrt,visoka_greda,balkon",watering,all,high,open_meteo_docs,vroče,98
very_hot_avoid_transplanting,yes,wait,all,temperature_max,>=,32,,,,°C,0,0,high,Presajanje raje prestavi,Zelo vroč dan je stresen za sadike.,"Mlade sadike se v vročini hitreje izsušijo in lažje ovenijo. Če moraš presajati, izberi večer in dobro zalij.",Presajanje prestavi na hladnejši dan ali večer.,Ne presajaj opoldne ali v največji vročini.,"5,6,7,8,9","vrt,visoka_greda,balkon","transplanting,planting","fruiting,leafy,brassicas,herbs",high,open_meteo_docs,vročinski stres,99
heatwave_3d_extra_care,yes,watch,all,hot_days_3d,>=,3,,,,days,0,3,high,Vročinski niz dni,Več vročih dni zapored poveča potrebo po vodi in senci.,"Pri loncih, visokih gredah in plodovkah spremljaj venenje, suho zemljo in ožige.","Zalivaj pogosteje, uporabi zastirko in po potrebi začasno senčenje.",Ne dodajaj močnega gnojila v času vročinskega stresa.,"6,7,8,9","vrt,visoka_greda,balkon,rastlinjak","watering,protection,mulching",all,medium,open_meteo_docs,vročinski niz,93
cold_night_protect_seedlings,yes,watch,all,temperature_min,<,5,,,,°C,0,0,medium,Hladna noč za občutljive sadike,Občutljive rastline spremljaj in po potrebi zaščiti.,"Plodovke in mlade sadike so občutljive na hladne noči, posebej spomladi.",Lončke umakni v zavetje ali sadike pokrij z vrtno kopreno.,Ne presajaj plodovk na prosto tik pred hladno nočjo.,"3,4,5,9,10","vrt,visoka_greda,balkon","protection,transplanting","fruiting,herbs",high,open_meteo_docs,hladna noč,96
