plant_id,month,month_name,task_type,task_title,task_description,priority,garden_type,region_adjustment,verification_status,confidence,source_ids
paradiznik,2,februar,setev_notri,Sej paradižnik v notranjih prostorih,"Splošen razpon: februar–marec. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paradiznik,3,marec,setev_notri,Sej paradižnik v notranjih prostorih,"Splošen razpon: februar–marec. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paradiznik,5,maj,presajanje,Presadi paradižnik na stalno mesto,"Splošen razpon: maj, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paradiznik,7,julij,obiranje,Obiraj paradižnik,Splošen razpon: julij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paradiznik,8,avgust,obiranje,Obiraj paradižnik,Splošen razpon: julij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paradiznik,9,september,obiranje,Obiraj paradižnik,Splošen razpon: julij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paprika,2,februar,setev_notri,Sej paprika v notranjih prostorih,"Splošen razpon: februar–marec. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paprika,3,marec,setev_notri,Sej paprika v notranjih prostorih,"Splošen razpon: februar–marec. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paprika,5,maj,presajanje,Presadi paprika na stalno mesto,"Splošen razpon: maj, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paprika,7,julij,obiranje,Obiraj paprika,Splošen razpon: julij–oktober. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paprika,8,avgust,obiranje,Obiraj paprika,Splošen razpon: julij–oktober. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paprika,9,september,obiranje,Obiraj paprika,Splošen razpon: julij–oktober. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
paprika,10,oktober,obiranje,Obiraj paprika,Splošen razpon: julij–oktober. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
cili,1,januar,setev_notri,Sej čili v notranjih prostorih,"Splošen razpon: januar–marec. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;SEMENARNA_KATALOG;VERIFY_NEEDED
cili,2,februar,setev_notri,Sej čili v notranjih prostorih,"Splošen razpon: januar–marec. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;SEMENARNA_KATALOG;VERIFY_NEEDED
cili,3,marec,setev_notri,Sej čili v notranjih prostorih,"Splošen razpon: januar–marec. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;SEMENARNA_KATALOG;VERIFY_NEEDED
cili,5,maj,presajanje,Presadi čili na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;SEMENARNA_KATALOG;VERIFY_NEEDED
cili,6,junij,presajanje,Presadi čili na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;SEMENARNA_KATALOG;VERIFY_NEEDED
cili,7,julij,obiranje,Obiraj čili,Splošen razpon: julij–oktober. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;SEMENARNA_KATALOG;VERIFY_NEEDED
